compound,target,assay_type,affinity_type,affinity_value,affinity_unit,species,system,study_doi,study_title,study_year,evidence_level,source,notes,source_type,access_level,evidence_location,evidence_locator,study_design,authors,paper_type,demoted_from,cleanup_bucket,recommended_action,cleanup_issues,original_row_index,demoted_at
LSD,5-HT1A,radioligand binding,Ki,2.29,nM,human (cloned cells),in_vitro,10.1152/ajpcell.00397.2022,G protein-coupled receptors as targets for transformative neuropsychiatric therapeutics,2023,medium,doi,Values compiled from PDSP Ki database in review table,review,secondary_summary,table,Table (unspecified),in_vitro_binding_assay,Gavin P. Schmitz; Bryan L. Roth,primary_results,mechanistic,auto_demote,demote_from_main_kg,source_type is review; secondary_summary,1,2026-03-12T15:16:48.883038+00:00
LSD,5-HT2A,radioligand binding,Ki,3.29,nM,human (cloned cells),in_vitro,10.1152/ajpcell.00397.2022,G protein-coupled receptors as targets for transformative neuropsychiatric therapeutics,2023,medium,doi,Values compiled from PDSP Ki database in review table,review,secondary_summary,table,Table (unspecified),in_vitro_binding_assay,Gavin P. Schmitz; Bryan L. Roth,primary_results,mechanistic,auto_demote,demote_from_main_kg,source_type is review; secondary_summary,2,2026-03-12T15:16:48.883038+00:00
Psilocin,5-HT1A,radioligand binding,Ki,49.0,nM,human (cloned cells),in_vitro,10.1152/ajpcell.00397.2022,G protein-coupled receptors as targets for transformative neuropsychiatric therapeutics,2023,medium,doi,Values compiled from PDSP Ki database in review table,review,secondary_summary,table,Table (unspecified),in_vitro_binding_assay,Gavin P. Schmitz; Bryan L. Roth,primary_results,mechanistic,auto_demote,demote_from_main_kg,source_type is review; secondary_summary,3,2026-03-12T15:16:48.883038+00:00
Psilocin,5-HT2A,radioligand binding,Ki,12.0,nM,rat cortex,in_vitro,10.1152/ajpcell.00397.2022,G protein-coupled receptors as targets for transformative neuropsychiatric therapeutics,2023,medium,doi,5-HT2A data reported from rat cortex in review table,review,secondary_summary,table,Table (unspecified),in_vitro_binding_assay,Gavin P. Schmitz; Bryan L. Roth,other,mechanistic,auto_demote,demote_from_main_kg,source_type is review; secondary_summary,4,2026-03-12T15:16:48.883038+00:00
Psilocybin,5-HT1A,radioligand binding,Ki,10000,nM,human (cloned cells),in_vitro,10.1152/ajpcell.00397.2022,G protein-coupled receptors as targets for transformative neuropsychiatric therapeutics,2023,medium,doi,"Reported as >10,000 nM in review table",review,secondary_summary,table,Table (unspecified),in_vitro_binding_assay,Gavin P. Schmitz; Bryan L. Roth,other,mechanistic,auto_demote,demote_from_main_kg,source_type is review; secondary_summary,5,2026-03-12T15:16:48.883038+00:00
Psilocybin,5-HT2A,radioligand binding,Ki,13.0,nM,rat cortex,in_vitro,10.1152/ajpcell.00397.2022,G protein-coupled receptors as targets for transformative neuropsychiatric therapeutics,2023,medium,doi,5-HT2A data reported from rat cortex in review table,review,secondary_summary,table,Table (unspecified),in_vitro_binding_assay,Gavin P. Schmitz; Bryan L. Roth,other,mechanistic,auto_demote,demote_from_main_kg,source_type is review; secondary_summary,6,2026-03-12T15:16:48.883038+00:00
DMT,5-HT1A,radioligand binding,Ki,130.0,nM,rat (hippocampus),in_vitro,10.1124/pr.115.011478,Psychedelics,2016,high,doi,Review reports Deliganis et al. (1991) Ki=130 nM; guanyl nucleotides reduce Ki to 464 nM,review,secondary_summary,text,Unspecified,in_vitro_binding_assay,David E. Nichols,other,mechanistic,auto_demote,demote_from_main_kg,source_type is review; high evidence attached to weak paper_type; secondary_summary,15,2026-03-12T15:16:48.883038+00:00
Mescaline,5-HT2A,radioligand binding,Ki,550.0,nM,human (cloned receptors),in_vitro,10.1124/pr.115.011478,Psychedelics,2016,high,doi,Table 1 reports mescaline Ki 550 nM for 5-HT2A,review,secondary_summary,table,Table 1,in_vitro_binding_assay,David E. Nichols,other,mechanistic,auto_demote,demote_from_main_kg,source_type is review; high evidence attached to weak paper_type; secondary_summary,16,2026-03-12T15:16:48.883038+00:00
Mescaline,5-HT2C,radioligand binding,Ki,300.0,nM,human (cloned receptors),in_vitro,10.1124/pr.115.011478,Psychedelics,2016,high,doi,Table 1 reports mescaline Ki 300 nM for 5-HT2C,review,secondary_summary,table,Table 1,in_vitro_binding_assay,David E. Nichols,other,mechanistic,auto_demote,demote_from_main_kg,source_type is review; high evidence attached to weak paper_type; secondary_summary,17,2026-03-12T15:16:48.883038+00:00
S-ketamine,NMDA receptor,functional assay,IC50,0.76,uM,,in_vitro,10.1007/s00406-023-01571-4,Esmethadone-HCl (REL-1017): a promising rapid antidepressant,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Abstract This review article presents select recent studies that form the basis for the development of esmethadone into a potential new drug. Esmethadone is a promising m,preclinical_study,Maurizio Fava; Stephen M. Stahl; Sara De Martin; Andrea Mattarei; Ezio Bettini; Stefano Comai; Andrea Alimonti; Francesco Bifari; Luca Pani; Franco Folli,review,mechanistic,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; full_text_seen still points to abstract snippet,20,2026-03-12T15:16:48.883038+00:00
